cell_loss_b_epoch,cell_loss_b_step,epoch,loss_total_epoch,loss_total_step,pos_loss_b_epoch,pos_loss_b_step,species_loss_epoch,species_loss_step,step
-0.005994325038045645,,0,-0.03685995936393738,,-0.03086564876139164,,0.0,,26
,-0.004981111269444227,1,,-0.036565881222486496,,-0.03158476948738098,,0.0,49
-0.00609039468690753,,1,-0.037124574184417725,,-0.031034192070364952,,0.0,,53
-0.006181779783219099,,2,-0.037617456167936325,,-0.03143566846847534,,0.0,,80
,-0.004041069187223911,3,,-0.03559426963329315,,-0.031553201377391815,,0.0,99
-0.006138923577964306,,3,-0.03758770227432251,,-0.03144877776503563,,0.0,,107
-0.00612944271415472,,4,-0.037568122148513794,,-0.031438685953617096,,0.0,,134
,-0.0045294929295778275,5,,-0.03349686041474342,,-0.028967367485165596,,0.0,149
-0.006110972724854946,,5,-0.037547606974840164,,-0.03143664449453354,,0.0,,161
-0.006197821348905563,,6,-0.037243641912937164,,-0.0310458205640316,,0.0,,188
,-0.005991431884467602,7,,-0.032077085226774216,,-0.02608565241098404,,0.0,199
-0.00611808942630887,,7,-0.03709910064935684,,-0.030981015413999557,,0.0,,215
-0.006145992781966925,,8,-0.0376167930662632,,-0.031470805406570435,,0.0,,242
,-0.006590844132006168,9,,-0.03681693971157074,,-0.030226096510887146,,0.0,249
-0.006130136549472809,,9,-0.03748293220996857,,-0.03135278820991516,,0.0,,269
-0.006131646689027548,,10,-0.037283893674612045,,-0.031152257695794106,,0.0,,296
,-0.00745869567617774,11,,-0.03765098750591278,,-0.030192291364073753,,0.0,299
-0.0061265588738024235,,11,-0.03748225048184395,,-0.03135567903518677,,0.0,,323
,-0.005974009167402983,12,,-0.036033835262060165,,-0.030059825628995895,,0.0,349
-0.006105749402195215,,12,-0.03715546056628227,,-0.031049717217683792,,0.0,,350
-0.006167070474475622,,13,-0.037275686860084534,,-0.031108614057302475,,0.0,,377
,-0.009283878840506077,14,,-0.04018242284655571,,-0.030898544937372208,,0.0,399
-0.006130382418632507,,14,-0.03721556067466736,,-0.031085176393389702,,0.0,,404
-0.006164245307445526,,15,-0.03754165396094322,,-0.0313774012029171,,0.0,,431
,-0.004764690529555082,16,,-0.040049098432064056,,-0.03528440743684769,,0.0,449
-0.0061893826350569725,,16,-0.03760547935962677,,-0.03141609951853752,,0.0,,458
-0.006168431602418423,,17,-0.03724370896816254,,-0.03107527270913124,,0.0,,485
,-0.007147573865950108,18,,-0.04007988050580025,,-0.032932307571172714,,0.0,499
-0.006153016816824675,,18,-0.03774908930063248,,-0.031596072018146515,,0.0,,512
-0.006160398945212364,,19,-0.03739248588681221,,-0.0312320776283741,,0.0,,539
,-0.004268405959010124,20,,-0.038388825953006744,,-0.03412042185664177,,0.0,549
-0.006174464710056782,,20,-0.03760341554880142,,-0.031428951770067215,,0.0,,566
-0.006220194045454264,,21,-0.03769225999712944,,-0.03147205337882042,,0.0,,593
,-0.004606818314641714,22,,-0.03742743283510208,,-0.03282061591744423,,0.0,599
-0.00610797293484211,,22,-0.03717362508177757,,-0.031065640971064568,,0.0,,620
-0.006159037351608276,,23,-0.037639010697603226,,-0.03147997334599495,,0.0,,647
