cell_loss_b_epoch,cell_loss_b_step,epoch,loss_total_epoch,loss_total_step,pos_loss_b_epoch,pos_loss_b_step,species_loss_epoch,species_loss_step,step
,-0.006062829401344061,48,,-0.035479623824357986,,-0.029416793957352638,,0.0,1299
-0.006161723285913467,,48,-0.0376051627099514,,-0.03144345432519913,,0.0,,1322
,-0.009706505574285984,49,,-0.041343435645103455,,-0.031636931002140045,,0.0,1349
-0.00613905256614089,,49,-0.037543777376413345,,-0.03140473738312721,,0.0,,1349
-0.006103606894612312,,50,-0.0375070683658123,,-0.031403470784425735,,0.0,,1376
,-0.004860822111368179,51,,-0.03874509036540985,,-0.03388426825404167,,0.0,1399
-0.006130559369921684,,51,-0.03764890879392624,,-0.03151835501194,,0.0,,1403
-0.0061570825055241585,,52,-0.0374826081097126,,-0.03132551908493042,,0.0,,1430
,-0.004639114253222942,53,,-0.03464765101671219,,-0.03000853769481182,,0.0,1449
-0.006152437999844551,,53,-0.037736453115940094,,-0.03158401697874069,,0.0,,1457
-0.006163794081658125,,54,-0.03710450604557991,,-0.030940720811486244,,0.0,,1484
,-0.009866283275187016,55,,-0.04485942795872688,,-0.03499314561486244,,0.0,1499
-0.006198003422468901,,55,-0.0377151221036911,,-0.03151711821556091,,0.0,,1511
-0.006156422663480043,,56,-0.03727076202630997,,-0.03111433982849121,,0.0,,1538
,-0.006652432028204203,57,,-0.03387776389718056,,-0.027225332334637642,,0.0,1549
-0.006161196622997522,,57,-0.03798936307430267,,-0.031828172504901886,,0.0,,1565
-0.006109087262302637,,58,-0.03709343448281288,,-0.03098435141146183,,0.0,,1592
,-0.010231224820017815,59,,-0.04043169692158699,,-0.030200472101569176,,0.0,1599
-0.006197583395987749,,59,-0.03781301528215408,,-0.03161543980240822,,0.0,,1619
-0.006138416938483715,,60,-0.03789971023797989,,-0.0317612960934639,,0.0,,1646
,-0.0045702229253947735,61,,-0.03741126507520676,,-0.032841041684150696,,0.0,1649
-0.006175114773213863,,61,-0.03783804923295975,,-0.031662940979003906,,0.0,,1673
,-0.0048451414331793785,62,,-0.033009812235832214,,-0.02816466987133026,,0.0,1699
-0.006129751447588205,,62,-0.03753163293004036,,-0.03140188381075859,,0.0,,1700
-0.00617143465206027,,63,-0.037108272314071655,,-0.030936844646930695,,0.0,,1727
,-0.00821019522845745,64,,-0.03856811672449112,,-0.03035792149603367,,0.0,1749
-0.00610924931243062,,64,-0.03746039792895317,,-0.031351152807474136,,0.0,,1754
-0.006141271907836199,,65,-0.037904758006334305,,-0.031763479113578796,,0.0,,1781
,-0.004936680663377047,66,,-0.03293700888752937,,-0.028000326827168465,,0.0,1799
-0.006131784990429878,,66,-0.037584904581308365,,-0.031453125178813934,,0.0,,1808
-0.006117949262261391,,67,-0.037805862724781036,,-0.031687911599874496,,0.0,,1835
,-0.007972655817866325,68,,-0.03970173001289368,,-0.0317290723323822,,0.0,1849
-0.006179130636155605,,68,-0.037514954805374146,,-0.031335823237895966,,0.0,,1862
-0.006169719155877829,,69,-0.037403784692287445,,-0.031234070658683777,,0.0,,1889
,-0.006167048122733831,70,,-0.0371442511677742,,-0.03097720444202423,,0.0,1899
-0.00615770323202014,,70,-0.03733186051249504,,-0.031174147501587868,,0.0,,1916
-0.0061169760301709175,,71,-0.03766372799873352,,-0.03154674172401428,,0.0,,1943
,-0.0048053329810500145,72,,-0.036533452570438385,,-0.031728118658065796,,0.0,1949
-0.006149774417281151,,72,-0.037844058126211166,,-0.03169429674744606,,0.0,,1970
-0.006127804983407259,,73,-0.037765808403491974,,-0.031637996435165405,,0.0,,1997
,-0.004198083654046059,74,,-0.03942015767097473,,-0.03522207587957382,,0.0,1999
-0.005662251263856888,,74,-0.038975153118371964,,-0.03331289812922478,,0.0,,1999
